description,description_link,country,project_title,notice_type,language,publish_date,project_link,project_id,status,team_leader,borrower,implementing_agency,total_project_cost,commitment_amount,closing_date
"Fornecimento de 5.000 Feixes de estacas de capim elefante para mulptiplicação e posterior distribuição aos Beneciários membros das ECA nas áreas alvo do Projecto (Benguela, Cuando Cubango, Cunene, Huila e Namibe).",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353538,Angola,Smallholder Agricultural Transformation Project - P177305,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P177305,P177305,Active,"Izabela Assis Leao Luz , Marco Aguero, Julia Navarro Espinal",Republic of Angola,Ministry of Agriculture and Fisheries,US$ 306.00 million,US$ 300.00 million,"February 28, 2029"
Civil Works refurbishment and innovation for outer islands health facilities and stuff quarters,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353539,Kiribati,Kiribati Health Systems Strengthening Project - P176306,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P176306,P176306,Active,Wayne Irava,Republic of Kiribati,Ministry of Health and Medical Services,US$ 14.00 million,US$ 14.00 million,"March 31, 2027"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353540,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353541,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353542,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
"Supplying, installation & services comprehensive maintenance of 166 Nos. of DWLRs (Single Sensor Data Logger) in the DVCA districts under SWID",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353543,India,West Bengal Major Irrigation and Flood Management Project - P162679,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P162679,P162679,Active,"Joop Stoutjesdijk , Qiong Lu",Republic of India,Irrigation and Waterways Department of West Bengal,US$ 413.80 million,US$ 290.00 million,"November 30, 2025"
Procurement of IT Equipment's for MHSSP office (details in comments),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353544,India,Mizoram Health Systems Strengthening Project - P173958,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173958,P173958,Active,"Elina Pradhan , Amith Bathula","India (Department of Economic Affairs, Government of India)","Health and Family Welfare Department, Government of Mizoram",US$ 40.00 million,US$ 32.00 million,"March 31, 2026"
Procurement of IT Equipment's for MHSSP office (details in comments),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353545,India,Mizoram Health Systems Strengthening Project - P173958,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173958,P173958,Active,"Elina Pradhan , Amith Bathula","India (Department of Economic Affairs, Government of India)","Health and Family Welfare Department, Government of Mizoram",US$ 40.00 million,US$ 32.00 million,"March 31, 2026"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353546,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
Detailed design and development of bidding documents for the Battery Energy Storage Technology 2 (BEST2) - Component Battery in Mauritania and Niger.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353547,Western and Central Africa,Regional Electricity Access and BEST Project - P167569,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P167569,P167569,Active,"Massan Akitani , Petra Valickova, Victor Bagnon","Republic of Senegal,Republic of Mali,Republic of Niger,Islamic Republic of Mauritania,ECOWAS,Republic of Cote d'Ivoire","ECOWAS Directorate for Energy and Mines,SENELEC,NIGELEC,SOMELEC,Electricite du Mali (EDM),CI-Energies",US$ 465.00 million,US$ 465.00 million,"December 31, 2026"
SUPPLY AND INSTALLATION OF INFRASTRUCTURE TO HOST THE GOVERNMENT LOW-CODE PLATFORM,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353548,Rwanda,Digital Acceleration Project - P173373,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173373,P173373,Active,Isabella Hayward,Republic of Rwanda,"Rwanda Information Society Authority,Development Bank of Rwanda",US$ 200.00 million,US$ 200.00 million,"December 31, 2026"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353549,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353550,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353551,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
"Assistance à maitrise d'ouvrage (ATMO) pour la conception, le déploiement du Système de Prévision et d'Alerte Précoce (SPAP) des inondations et la mise en place d'un dispositif de mise en œuvre des mesures d'urgence dans le DAA",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353552,Cote d'Ivoire,Urban Resilience and Solid Waste Management Project - P168308,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P168308,P168308,Active,"Vivien Deparday , Laurence Ahiba",Republic of Cote d'Ivoire,Ministry of Sanitation,US$ 315.00 million,US$ 315.00 million,"October 31, 2026"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353553,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
Communication Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353554,Malawi,Regional Climate Resilience Program for Eastern and Southern Africa 2 Project (RCRP2) - P181308,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P181308,P181308,Active,"Arati Belle , Makiko Watanabe, Laura Bonzanigo, Chipo Msowoya","African Union,Republic of Malawi","African Union Commission (AUC),MW-Ministry of Finance and Economic Affairs",US$ 260.00 million,US$ 250.00 million,"December 29, 2028"
"Road Safety Audit (RSA) for designs (at 3 stages: preliminary design, final design, operation)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353555,Albania,Building Resilient Bridges - P174595,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P174595,P174595,Active,Jan Nora,Republic of Albania,Albanian Road Authority,US$ 55.00 million,US$ 55.00 million,"July 31, 2029"
RGPH-4 Recrutement d'un consultant Technique Permanent.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353556,Western and Central Africa,Harmonizing and Improving Statistics in West and Central Africa - Series of Projects Two (HISWACA - - P180085,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180085,P180085,Active,"Mervy Viboudoulou Vilpoux , Clarence Tsimpo Nkengne, Aboudrahyme Savadogo, Gervais Yama","The Gabonese Republic,The Republic of Congo","Ministere du Plan, de la Statistique et de l'Integration Regionale,Ministere de l'Economie et des Participations",US$ 360.00 million,US$ 440.00 million,"December 31, 2029"
"Procurement of vegetable seeds totaling of 60.000 kgs under TNIAMP 2024-25 in Cauvery Delta Sub basin, Mayiladuthurai District.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353557,India,Tamil Nadu Irrigated Agriculture Modernization Project - P158522,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P158522,P158522,Active,"Farbod Youssefi-Vash , Joop Stoutjesdijk",India,"Water Resources Department, Public Works Department, GoTN",US$ 455.80 million,US$ 318.00 million,"June 2, 2025"
Training for Director of hotel operations,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353558,Bosnia and Herzegovina,Bosnia and Herzegovina Provision of Private Employment Services - P171433,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P171433,P171433,Closed,Renata Mayer Gukovas,KOLEKTIV DOO,Kolektiv doo,US$ 0.94 million,US$ 3.11 million,"February 28, 2025"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353559,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
"Procurement of Office Furniture and FTC equipment at Dedessa Woreda, under Buno Bedele Zone",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353560,Eastern and Southern Africa,Food Systems Resilience Program for Eastern and Southern Africa - P178566,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P178566,P178566,Active,"Elliot Mghenyi , Stephen D'Alessandro, Timothy Robertson, Laura Bonzanigo, Karishma Wasti","Intergovernmental Authority on Development (IGAD),Federal Democratic Republic of Ethiopia,Center for Coordination of Agricultural Research and Development for Southern Africa (CCARDESA),Republic of Madagascar","Ministry of Agriculture, Ethiopia,Center for Coordination of Agricultural Research and Development for Southern Africa (CCARDESA),IGAD Agriculture and Environmental Division,Ministry of Agriculture and Livestock, Madagascar",US$ 873.60 million,US$ 873.60 million,"June 29, 2029"
Recrutement d'un Consultant Individuel pour l'élaboration du Plan d'action et de Réinstallation des personnes affectée par le projet d'aménagement des ouvrages de drainage des eaux pluviales de Gesco et Port-Boût II dans la commune de Yopougon.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353561,Cote d'Ivoire,Urban Resilience and Solid Waste Management Project - P168308,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P168308,P168308,Active,"Vivien Deparday , Laurence Ahiba",Republic of Cote d'Ivoire,Ministry of Sanitation,US$ 315.00 million,US$ 315.00 million,"October 31, 2026"
TW–Lot 10 Drilling and Construction of Small-Town Water System at Sakote and Fencing of Farm at Zalerigu in the Nabdam District of Upper East Region,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353562,Western and Central Africa,Gulf of Guinea Northern Regions Social Cohesion project - P175043,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175043,P175043,Active,"Susan Wong , Julia Lendorfer, Ashutosh Raina, Manuel Figueredo Thomson","Republic of Ghana,Republic of Côte d’Ivoire,Republic of Togo,Republic of Benin","Prime Minister’s Office (Côte d’Ivoire),General Secretariat of the Presidency (Benin),National Community Development Support Agency (ANADEB) (Togo),Ministry of Local Government Decentralisation and Rural Development (Ghana)",US$ 450.00 million,US$ 473.00 million,"December 31, 2027"
Training for mechanical engineer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353563,Bosnia and Herzegovina,Bosnia and Herzegovina Provision of Private Employment Services - P171433,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P171433,P171433,Closed,Renata Mayer Gukovas,KOLEKTIV DOO,Kolektiv doo,US$ 0.94 million,US$ 3.11 million,"February 28, 2025"
Mission d'n Consultant pour accompagner la CONAREF afin de tester la mise en place d'un registre des terres rurales,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353564,"Congo, Democratic Republic of",Forest and Savanna Restoration Investment Program - P178642,Request for Expression of Interest,French,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P178642,P178642,Active,Patrice Savadogo,Ministry of Finance,Ministry of Environment and Sustainable Development,US$ 300.00 million,US$ 300.00 million,"June 30, 2030"
ST – Lot 1 Construction and furnishing of 2No. CHPS Compound and 2-Unit Accommodation with 2-Unit WC Toilet at Libi and Kidenge in the North Gonja District of Savannah Region.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353565,Western and Central Africa,Gulf of Guinea Northern Regions Social Cohesion project - P175043,Invitation for Bids,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175043,P175043,Active,"Susan Wong , Julia Lendorfer, Ashutosh Raina, Manuel Figueredo Thomson","Republic of Ghana,Republic of Côte d’Ivoire,Republic of Togo,Republic of Benin","Prime Minister’s Office (Côte d’Ivoire),General Secretariat of the Presidency (Benin),National Community Development Support Agency (ANADEB) (Togo),Ministry of Local Government Decentralisation and Rural Development (Ghana)",US$ 450.00 million,US$ 473.00 million,"December 31, 2027"
"Construction de 4 forages &4 Bureau CLD en 4 lots Lot1 : Forage et Bur CLD Localité de Bondama II, Lot2 : Forage et Bur CLD/ Localité de Bokpale, Lot 3: Forage et Bur CLD/ Localité Bogbena, Lot4 : Forage et LD localité Bogoro, Ter. Gemena.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353566,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353567,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
"Construction de 4 forages &4 Bureau CLD en 4 lots Lot1 : Forage et Bur CLD Localité de Bondama II, Lot2 : Forage et Bur CLD/ Localité de Bokpale, Lot 3: Forage et Bur CLD/ Localité Bogbena, Lot4 : Forage et LD localité Bogoro, Ter. Gemena.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353568,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
Construction of Borehole Complex Fence and Kiosk Building at Kassa Kunda and Nyolleh,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353569,"Gambia, The",Gambia Electricity Restoration and Modernization Project - P163568,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P163568,P163568,Active,"Matarr Touray , Sylvestre Bea, Leopold Sedogo",Ministry of Finance and Economic Affairs,National Water and Electricity Company NAWEC,US$ 121.50 million,US$ 120.00 million,"June 30, 2025"
Training for Graphics machine operator and prepress operator,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353570,Bosnia and Herzegovina,Bosnia and Herzegovina Provision of Private Employment Services - P171433,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P171433,P171433,Closed,Renata Mayer Gukovas,KOLEKTIV DOO,Kolektiv doo,US$ 0.94 million,US$ 3.11 million,"February 28, 2025"
"Construction de 4 forages &4 Bureau CLD en 4 lots Lot1 : Forage et Bur CLD Localité de Bondama II, Lot2 : Forage et Bur CLD/ Localité de Bokpale, Lot 3: Forage et Bur CLD/ Localité Bogbena, Lot4 : Forage et LD localité Bogoro, Ter. Gemena.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353571,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
"Construction de 4 forages &4 Bureau CLD en 4 lots Lot1 : Forage et Bur CLD Localité de Bondama II, Lot2 : Forage et Bur CLD/ Localité de Bokpale, Lot 3: Forage et Bur CLD/ Localité Bogbena, Lot4 : Forage et LD localité Bogoro, Ter. Gemena.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353572,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
"ST – Lot 2 Construction of 2No. 3-Unit Nurses Accommodation at Gidanturu, Nyeshile in the North Gonja District of Savannah Region",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353573,Western and Central Africa,Gulf of Guinea Northern Regions Social Cohesion project - P175043,Invitation for Bids,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175043,P175043,Active,"Susan Wong , Julia Lendorfer, Ashutosh Raina, Manuel Figueredo Thomson","Republic of Ghana,Republic of Côte d’Ivoire,Republic of Togo,Republic of Benin","Prime Minister’s Office (Côte d’Ivoire),General Secretariat of the Presidency (Benin),National Community Development Support Agency (ANADEB) (Togo),Ministry of Local Government Decentralisation and Rural Development (Ghana)",US$ 450.00 million,US$ 473.00 million,"December 31, 2027"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353574,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
"Recrutement d'un expert DevOps pour l'architecture,le développement,l’intégration et le déploiement des applications",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353575,Western and Central Africa,Harmonizing and Improving Statistics in West and Central Africa - Series of Projects 1 (HISWACA - SO - P178497,Request for Expression of Interest,French,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P178497,P178497,Active,"Abdoullahi Beidou , Djibril Ndoye, Felicien Accrombessy, Yele Batana, Moritz Meyer","Republic of The Gambia,Republic of Guinea-Bissau,Republic of Mali,Economic Community of West African States (ECOWAS),Islamic Republic of Mauritania,Republic of Senegal,West African Economic and Monetary Union (WAEMU),Republic of Guinea,Republic of Niger,African Union (AU),Republic of Benin","Institut National de la Statistique (INS), Guinea,Gambia Bureau of Statistics (GBoS), The Gambia,Instituto Nacional de Estatística (INE), Guinea-Bissau,Institut National de la Statistique et de la Demographie (INStaD), Benin,Institut National de la Statistique (INSTAT), Mali,Agence Nationale de la Statistique et de la Démographie (ANSD), Senegal,Agence Nationale de la Statistique de l’Analyse et de la Démographie (ANSADE), Mauritania,Institut National de la Statsitique (INS), Niger,African Union Institute for Statistics (STATAFRIC),Directorate of Research and Statistics, ECOWAS Commission,West African Economic and Monetary Union (WAEMU) Commission",US$ 445.00 million,US$ 460.00 million,"December 15, 2028"
Procurement and installation of assorted medical & non-medical furniture & interiors for the New Redemption Hospital with a lot and several schedules,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353576,Liberia,Institutional Foundations to Improve Services For Health - P169641,Invitation for Bids,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P169641,P169641,Active,"Collins Chansa , Nicolas Rosemberg",Government of Liberia,Ministry of Health,US$ 84.00 million,US$ 54.00 million,"August 31, 2026"
"Fournitures des Equipements pour 2 IDB en 2 lots dans les Groupements BOBASO & BOBUSU, secteur de Businga, Territoire de Businga",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353577,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
Procurement of Personal Protective Equipment (10000 Sets),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353578,Ghana,Ghana COVID-19 Emergency Preparedness and Response Project - P173788,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173788,P173788,Active,Dorothee Chen,Republic of Ghana,"Ghana Health Services,Ministry of Health",US$ 365.00 million,US$ 425.60 million,"June 16, 2025"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353579,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353580,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
Recrutement d’un consultant chargé d’élaborer les termes de référence de l’étude d’évaluation des impacts de la crise liée aux inondations dans la vallée du fleuve Sénégal,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353581,Mauritania,Decentralization and Productive Intermediate Cities Support Project - P169332,Contract Award,French,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P169332,P169332,Active,"Emilie Jourdan , Jonas Parby, Manaf Touati",Islamic Republic of Mauritania,Ministry of Economy and Finance,US$ 71.00 million,US$ 66.00 million,"December 31, 2027"
"Constriction of Farmer training center/FTC at East Denbia worda, Centeral Gonder zone",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353582,Eastern and Southern Africa,Food Systems Resilience Program for Eastern and Southern Africa - P178566,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P178566,P178566,Active,"Elliot Mghenyi , Stephen D'Alessandro, Timothy Robertson, Laura Bonzanigo, Karishma Wasti","Intergovernmental Authority on Development (IGAD),Federal Democratic Republic of Ethiopia,Center for Coordination of Agricultural Research and Development for Southern Africa (CCARDESA),Republic of Madagascar","Ministry of Agriculture, Ethiopia,Center for Coordination of Agricultural Research and Development for Southern Africa (CCARDESA),IGAD Agriculture and Environmental Division,Ministry of Agriculture and Livestock, Madagascar",US$ 873.60 million,US$ 873.60 million,"June 29, 2029"
"Procurement and Installation of Assorted Medical Equipment for the New Redemption Hospital, which are into 3 lots with schedules. Lot#1- General & Specialized Medical Equipment Lot#2- Medical Diagnostics Equipment Lot#3- Sterilization & Medical Waste Mang",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353583,Liberia,Institutional Foundations to Improve Services For Health - P169641,Invitation for Bids,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P169641,P169641,Active,"Collins Chansa , Nicolas Rosemberg",Government of Liberia,Ministry of Health,US$ 84.00 million,US$ 54.00 million,"August 31, 2026"
Field operation Enumerators,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353584,Solomon Islands,Building Capacity in Statistics and Audit Project - P180723,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180723,P180723,Active,"Shohei Nakamura , Bonnie Sirois",Solomon Islands,"Solomon Islands National Statistics office,Office of the Auditor General of Solomon Islands",US$ 7.00 million,US$ 6.50 million,"December 28, 2028"
Purchasing of office furniture for AQUA - Zambezia,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353585,Mozambique,Sustainable Rural Economy Program - P174002,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P174002,P174002,Active,"Blessings Botha , Ana Bucher",Republic of Mozambique,"ProAzul Blue Economy Development Fund,BIOFUND,National Sustainable Development Fund (FNDS)",US$ 150.00 million,US$ 150.00 million,"June 30, 2026"
"Procurement of (Lotte one) Hand tools, (Lotte two) local and Industrial constructional materials for Axum City.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353586,Ethiopia,Urban Productive Safety Net and Jobs Project - P169943,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P169943,P169943,Active,"Ayuba Hussein , Erina Iwami",FEDERAL DEMOCRATIC REPUBLIC OF ETHIOPIA,"Ministry of Labor and Skills,Ministry of Women and Social Affairs,Ministry of Urban Development and Infrastructure",US$ 550.00 million,US$ 458.00 million,"December 31, 2027"
"Procurement of (Lotte one) Hand tools, (Lotte two) local and Industrial constructional materials for Axum City.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353587,Ethiopia,Urban Productive Safety Net and Jobs Project - P169943,Contract Award,English,"April 23, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P169943,P169943,Active,"Ayuba Hussein , Erina Iwami",FEDERAL DEMOCRATIC REPUBLIC OF ETHIOPIA,"Ministry of Labor and Skills,Ministry of Women and Social Affairs,Ministry of Urban Development and Infrastructure",US$ 550.00 million,US$ 458.00 million,"December 31, 2027"
